ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
Ach_General_1,Victories,,Victoires,Siege,승리,Zwycięstwa,Vitórias,Победы,Victorias
Ach_General_2,Metagame,,Métajeu,Metaspiel,메타게임,Metagra,Metajogo,Развитие,Metajuego
Ach_General_3,Island Challenges,,Défis Îles,Insel-Herausforderungen,섬 챌린지,Wyzwania Wysp,Desafios de Ilha,Острова,Desafíos de islas
Ach_General_4,Pilot Challenges,,Défis Pilotes,Piloten-Herausforderungen,조종사 챌린지,Wyzwania Pilotów,Desafios de Piloto,Пилоты,Desafíos de pilotos
Ach_General_5,Challenge Runs,,Défis multiples,Herausforderungsläufe,라운드 챌린지,Wyzwania Wytrwałości,Partidas Desafiadoras,Испытания,Misiones de desafío
Ach_Global_Victory_Any_Title,Victory,,Victoire,Sieg,승리,Zwycięstwo,Vitória,Победа,Victoria
Ach_Global_Victory_Any_Text,Beat the game (any length),,Vaincre le jeu (durée au choix),Schließe das Spiel ab (beliebige Länge).,게임에서 승리 (섬 수 무관),Ukończ grę z dowolną liczbą zabezpieczonych wysp.,Vença o jogo (qualquer duração),Пройдите игру (любой длительности).,Gana una partida (cualquier duración).
Ach_Global_Victory_Hard_Title,Hard Victory,,Victoire difficile,Schwerer Sieg,어려운 승리,Trudne Zwycięstwo,Vitória Difícil,Трудная победа,Victoria difícil
Ach_Global_Victory_Hard_Text,Beat the game on Hard (any length),,Vaincre le jeu en mode Difficile (durée au choix),Schließe das Spiel auf Schwer ab (beliebige Länge).,어려움 난이도 게임에서 승리 (섬 수 무관),Ukończ grę z dowolną liczbą zabezpieczonych wysp w trybie Trudnym.,Vença o jogo no Difícil (qualquer duração),Пройдите игру на высокой сложности (любой длительности).,Gana una partida difícil (cualquier duración).
Ach_Global_Victory_Islands_Title,Adaptable Victory,,Victoire adaptable,Angepasster Sieg,융통성의 승리,Zmienne Zwycięstwo,Vitória Adaptável,Неслучайная победа,Victoria adaptable
Ach_Global_Victory_Islands_Text,"Beat the game at least once per length (2, 3, and 4 Corporate Islands secured)",,"Battre le jeu au moins une fois par durée (2, 3 et 4 îles sauvées)","Schließe das Spiel mindestens einmal je Länge ab (2, 3 und 4 Konzerninseln gesichert).","2,3,4 곳의 섬 해방 후 최소 한 번씩 승리","Ukończ grę co najmniej raz po zabezpieczeniu odpowiednio 2, 3 i 4 wysp korporacyjnych.","Vença o jogo uma vez para cada duração (2, 3 e 4 Ilhas Corporativas defendidas)","Пройдите игру хотя бы раз на каждой длительности (2, 3 и 4 спасенных острова).","Gana una partida en cada duración (2, 3 y 4 islas corporativas salvadas)."
Ach_Global_Victory_Islands_Progress,Progress: $1 / 3 complete,,Progression : $1/3 terminée(s),Fortschritt: $1 / 3 abgeschlossen,진행도 - $1/3 완료,Postępy: ukończono $1 / 3,Progresso: concluiu $1 / 3,Прогресс: $1 / 3,Avance: $1/3 completadas
Ach_Global_Victory_Four_Title,Squads Victory,,Victoire d'escadrons,Einheitensieg,분대 승리,Zwycięstwo Oddziałów,Esquadrões Vitoriosos,Коллективная победа,Victoria de escuadrones
Ach_Global_Victory_Four_Text,Beat the game with 4 different Squads (any length),,Vaincre le jeu avec 4 escadrons différents (durée au choix),Schließe das Spiel mit 4 verschiedenen Einheiten ab (beliebige Länge).,4가지 다른 분대로 승리 (섬 수 무관),Ukończ grę z dowolną liczbą zabezpieczonych wysp 4 różnymi oddziałami.,Vença o jogo com 4 esquadrões diferentes (qualquer duração),Пройдите игру (любой длительности) с помощью 4 разных отрядов.,Gana sendas partidas con 4 escuadrones distintos (cualquier duración).
Ach_Global_Victory_Four_Progress,Progress: $1 / 4 victories,,Progression : $1 victoire(s)/4,Fortschritt: $1 / 4 Siegen,진행도 - $1/4 승리,Postępy: ukończono $1 / 4,Progresso: $1 / 4 vitórias,Прогресс: $1 / 4,Avance: $1/4 victorias
Ach_Global_Victory_Complete_Title,Complete Victory,,Victoire totale,Vollständiger Sieg,완벽한 승리,Całkowite Zwycięstwo,Vitória Completa,Безоговорочная победа,Victoria total
Ach_Global_Victory_Complete_Text,Beat the game with all 10 primary Squads (any length),,Vaincre le jeu avec les 10 escadrons principaux (durée au choix),Schließe das Spiel mit allen 10 Primäreinheiten ab (beliebige Länge).,10가지 분대로 게임에서 승리 (섬 수 무관),Ukończ grę z dowolną liczbą zabezpieczonych wysp 10 podstawowymi oddziałami.,Vença o jogo com os 10 Esquadrões principais (qualquer duração),Пройдите игру (любой длительности) с помощью 10 основных отрядов.,Gana sendas partidas con los 10 escuadrones principales (cualquier duración).
Ach_Global_Victory_Complete_Progress,Progress: $1 / 10 victories,,Progression : $1 victoire(s)/10,Fortschritt: $1 / 10 Siegen,진행도 - $1/10 승리,Postępy: ukończono $1 / 10,Progresso: $1 / 10 vitórias,Прогресс: $1 / 10,Avance: $1/10 victorias
Ach_Global_Meta_Unlock_Title,Emerging Technologies,,Technologie émergente,Aufstrebende Technologien,기술의 발전,Postęp Technologiczny,Tecnologias Emergentes,Технологический прогресс,Tecnologías emergentes
Ach_Global_Meta_Unlock_Text,Unlock a new Mech Squad,,Débloquer un nouvel escadron de Mechas,Schalte eine neue Mecheinheit frei.,새 메크 분대 해제,Odblokuj nowy oddział mechów.,Desbloqueie um novo Esquadrão Meka,Разблокируйте новый отряд мехов.,Desbloquea un nuevo escuadrón de mechs.
Ach_Global_Meta_Reputation_Title,Friends in High Places,,Des amis haut placés,Wichtige Freunde,높으신 분의 친구,Przyjaciele na Górze,Amigo do Rei,Связи в верхах,Amigos en las altas esferas
Ach_Global_Meta_Reputation_Text,Spend 50 Reputation across all games,,Dépenser 50 points de Réputation entre toutes vos parties,Verbrauche insgesamt 50 Reputation.,전체 게임에서 50 명성 포인트를 사용,Wydaj łącznie 50 pkt. reputacji w całej grze.,Gaste 50 de Reputação no total das partidas,Потратьте 50 ед. репутации (за все игры).,Gasta 50 de reputación a lo largo de todas las partidas.
Ach_Global_Meta_Reputation_Progress,Progress: $1 Reputation spent,,Progression : $1 point(s) de Réputation dépensé(s),Fortschritt: $1 Reputation eingesetzt,진행도 - 사용한 포인트: $1,Postępy: wydano $1 pkt. reputacji,Progresso: gastou $1 de Reputação,Прогресс: $1 ед. репутации потрачено,Avance: $1 de reputación gastada
Ach_Global_Meta_Block_Title,Immovable Objects,,Objets inamovibles,Unbewegliche Objekte,뿌리 깊은 나무,Nie do Ruszenia,Objetos Imóveis,"Попробуй, пройди",Objetos inamovibles
Ach_Global_Meta_Block_Text,Block 100 Vek across all games,,Bloquer 100 Veks entre toutes vos parties,Blocke insgesamt 100 Vek.,전체 게임에서 100번 Vek 출현을 차단,Zablokuj łącznie 100 veków w całej grze.,Bloqueie 100 Vek no total das partidas,Заблокируйте 100 векков (за все игры).,Bloquea a 100 vek a lo largo de todas las partidas.
Ach_Global_Meta_Block_Progress,Progress: $1 Vek Blocked,,Progression : $1 Vek(s) bloqué(s),Fortschritt: $1 Vek geblockt,진행도 - 방해한 Vek: $1,Liczba zablokowanych veków: $1,Progresso: bloqueou $1 Vek,Прогресс: $1 заблокировано,Avance: $1 vek bloqueados
Ach_Global_Meta_Rescue_Title,Humanity's Savior,,Sauveur de l'humanité,Retter der Menschheit,인류의 구원자,Zbawienie Ludzkości,Mártir da Humanidade,Спаситель человечества,Salvación de la humanidad
Ach_Global_Meta_Rescue_Text,"Rescue 100,000 civilians across all games",,Sauver 100 000 civils entre toutes vos parties,Rette insgesamt 100.000 Zivilisten.,"전체 게임에서 민간인 100,000명을 구조",Uratuj łącznie 100 000 cywilów w całej grze.,Resgate 100.000 civis no total das partidas,Спасите 100 000 мирных жителей (за все игры).,Rescata a 100 000 civiles a lo largo de todas las partidas.
Ach_Global_Meta_Rescue_Progress,Progress: $1 Civilians rescued,,Progression : $1 civil(s) sauvé(s),Fortschritt: $1 Zivilisten gerettet,진행도 - 구한 민간인: $1,Liczba uratowanych cywilów: $1,Progresso: $1 civis resgatados,Прогресс: $1 спасено,Avance: $1 civiles rescatados
Ach_Global_Meta_Perfect_Title,Perfect Strategy,,Stratégie parfaite,Perfekte Strategie,완벽한 전략,Arcystrateg,Estratégia Perfeita,Идеальная стратегия,Estrategia perfecta
Ach_Global_Meta_Perfect_Text,Collect 10 Perfect Island rewards across all games,,Récupérer 10 récompenses d'île parfaite entre toutes vos parties,Sammle insgesamt 10 Perfekte-Insel-Belohnungen.,전체 게임에서 완벽 보너스를 10번 받음,Zbierz nagrody za 10 perfekcyjnych wysp w całej grze.,Obtenha 10 prêmios de Ilha Perfeita no total das partidas,Получите 10 наград «Идеальный остров» (за все игры).,Consigue 10 recompensas de isla perfecta a lo largo de todas las partidas.
Ach_Global_Meta_Perfect_Progress,Progress: $1 Perfect Island(s),,Progression : $1 île(s) parfaite(s),Fortschritt: $1 Perfekte Insel(n),진행도 - 완벽 보너스: $1,Liczba nagród za perfekcyjne wyspy: $1,Progresso: $1 Ilha(s) Perfeita(s),Прогресс: $1 получено,Avance: $1 isla(s) perfecta(s)
Ach_Global_Island_Perfect_Title,Perfect Island,,Île parfaite,Perfekte Insel,완벽한 섬,Perfekcyjna Wyspa,Ilha Perfeita,Идеальный остров,Isla perfecta
Ach_Global_Island_Perfect_Text,Do not fail any objective on a single Corporate Island,,Réussir tous les objectifs d'une même île,Erreiche alle Ziele auf einer einzelnen Konzerninsel.,한 섬에서 모든 목표를 성공하기,Wykonaj wszystkie zadania w rozegranych misjach na jednej wyspie korporacyjnej.,Não fracasse em nenhum objetivo numa mesma Ilha Corporativa,Не провалите ни одной задачи на корпоративном острове.,Supera todos los objetivos en una misma isla corporativa.
Ach_Global_Island_Perfect_Failed,Failed: $1 failed,,Échec : $1 objectif(s) raté(s),Fehlschlag: $1 fehlgeschlagen,실패함 - 실패: $1,Liczba niewykonanych zadań: $1,Fracassos: $1,Провалено: $1,No superado: $1 no superados.
