ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
Tutorial_InfoButton_Text,"When confronted with new enemies, be sure to learn about their abilities. \n\nHold down $1 while hovering over units to examine them","When confronted with new enemies, be sure to learn about their abilities. \n\nHold down $1 while hovering over units to examine them","Lorsque vous affrontez de nouveaux ennemis, prenez le temps de connaître leurs capacités. \n\nMaintenez $1 en amenant le curseur sur l'unité qui vous intéresse pour l'examiner en détail.","Wenn du es mit neuen Gegnern zu tun bekommst, solltest du deren Fähigkeiten kennen.\n\n$1 gedrückt halten, während du auf eine Einheit zeigst, um sie in Augenschein zu nehmen.","새 적과 마주쳤을 때, 적의 특성을 파악하세요.\n\n커서를 유닛 위에 올리고 $1을 누르고 있으면 유닛의 특성을 볼 수 있습니다.","Gdy spotykasz nowych wrogów, poznaj ich zdolności. \n\nNajedź na nich i przytrzymaj $1.","Quando enfrentar novos inimigos, preste atenção às habilidades deles.\n\nSegure $1 com o cursor sobre as unidades para examiná-las.","Повстречав новых врагов, не забудьте ознакомиться с их способностями.\n\nУдерживайте $1, наведя курсор на юнит, чтобы изучить его.","Cuando te enfrentes a enemigos nuevos, primero, averigua qué habilidades tienen.\n\nMantén pulsado $1 mientras pasas el cursor sobre las unidades para examinarlas."
Tutorial_InfoButton_Title,Inspect Units,Inspect Units,Inspecter les unités,Einheiten ansehen,유닛 분석,Inspekcja jednostek,Inspecionar Unidades,Изучение юнитов,Inspeccionar unidades
Tutorial_CombatPower_Text,"This is the Power Grid. Whenever a building is damaged, it will be reduced. \n\nThis is what delivers power to your Mechs, so if it is reduced to zero, you LOSE.","This is the Power Grid. Whenever a building is damaged, it will be reduced. \n\nThis is what delivers power to your Mechs, so if it is reduced to zero, you LOSE.","Voici votre Réseau. Chaque fois qu'un bâtiment est endommagé, sa valeur diminue. \n\nC'est lui qui alimente vos Mechas en énergie, et s'il tombe à zéro, vous perdez la partie.","Dies ist das Energienetz. Wenn ein Gebäude beschädigt wird, wird das Netz geschwächt.\n\nEs versorgt deine Mechs mit Energie. Wenn das Energienetz auf 0 sinkt, hast du VERLOREN.","이 것은 전력망입니다. 건물이 손상될 때, 전력 또한 손실됩니다. \n\n전력망이 메크에게 전력을 공급하기 때문에 모두 잃으면 패배하게 됩니다.","To jest Sieć Zasilania. Kiedy budynki są uszkadzane, Zasilanie spada. \n\nSieć Zasilania napędza mechy. Jeśli spadnie do zera, PRZEGRYWASZ.","Esta é a Rede de Energia. Ela se reduz sempre que uma estrutura é danificada.\n\nA Rede de Energia é o que alimenta seus Mekas, então se ela chegar a zero, você perde.","Это состояние энергосети. Оно ухудшается, когда инфраструктурные здания получают урон.\n\nЭнергосеть питает ваши мехи: если она откажет, вы проиграете.","Esta es la red eléctrica. Cada vez que un edificio sufra daños, se perderá una parte.\n\nEs lo que da energía a tus mechs, así que, si se reduce a cero, pierdes."
Tutorial_CombatPower_Title,Power Grid,Power Grid,Réseau,Energienetz,전력망,Sieć Zasilania,Rede de Energia,Энергосеть,Red eléctrica
Tutorial_CombatAiming_Text,"When aiming a weapon, the ORANGE tiles show where you can shoot.","When aiming a weapon, the ORANGE tiles show where you can shoot.","Lorsque vous visez à l'aide d'une arme, les cases en ORANGE vous montrent où vous pouvez tirer.","Wenn du mit einer Waffe zielst, zeigen die ORANGEN Felder an, wohin du schießen kannst.","무장을 조준할 때, 주황색 타일은 쏠 수 있는 타일을 의미합니다.","Kiedy celujesz, POMARAŃCZOWE pola pokazują, gdzie możesz strzelać.","Ao mirar com uma arma, os espaços LARANJAS indicam onde você pode atirar.",ОРАНЖЕВЫЕ клетки показывают зону досягаемости выбранного оружия.,"Al apuntar un arma, las casillas de color naranja indican dónde puedes disparar."
Tutorial_CombatAiming_Title,Valid Targets,Valid Targets,Cibles possibles,Gültige Ziele,유효한 타겟,Dostępne cele,Alvos Válidos,Доступные цели,Objetivos válidos
Tutorial_CombatAiming_Gamepad_Text,"When aiming a weapon, hold down the [L Button] to get more information about the weapon.","When aiming a weapon, hold down the [L Button] to get more information about the weapon.","Lorsque vous visez à l'aide d'une arme, maintenez le [bouton L] enfoncé pour obtenir davantage d'informations au sujet de votre arme.","Wenn du mit einer Waffe zielst, halte die [L-Taste] gedrückt, um mehr Informationen über die Waffe zu erhalten.","무장을 조준할 때, [L Button]을 눌러 무장에 대한 자세한 정보를 볼 수 있습니다.","Kiedy celujesz, przytrzymaj [przycisk L], aby dowiedzieć się więcej o uzbrojeniu.","Ao mirar com uma arma, segure [Botão L] para saber mais informações sobre a arma.","Наводя оружие на цель, удерживайте [кнопку L], чтобы узнать больше о его возможностях.","Mientras apuntas un arma, mantén pulsado el [botón L] para obtener más información sobre ella."
Tutorial_CombatAiming_Gamepad_Title,Examine Weapon,Examine Weapon,Examiner votre arme,Waffe untersuchen,무장 조사,Analiza uzbrojenia,Examinar Armas,Изучение оружия,Examinar arma
Tutorial_CombatMonster_Text,"Every enemy attack is forewarned. Next turn, this one will attack the buildings. \n\nHover over an enemy to see details about its attack.","Every enemy attack is forewarned. Next turn, this one will attack the buildings. \n\nHover over an enemy to see details about its attack.","Les attaques ennemies sont annoncées à l'avance. Par exemple, cette unité attaquera les bâtiments au prochain tour. \n\nAmenez le curseur sur un ennemi pour en apprendre davantage sur son attaque.","Das Angriffsziel von Gegnern ist im Voraus bekannt. Nächste Runde greift dieser Gegner die Gebäude an.\n\nZeige auf einen Gegner, um mehr über dessen Angriff zu erfahren.","모든 적의 공격은 예고됩니다. 다음 턴에, 이 공격은 건물을 공격합니다. \n\n커서를 적 위로 올려 이 공격의 자세한 내용을 알아보세요. ","Każdy atak wroga jest uprzednio zapowiedziany. W kolejnej turze ten wróg zaatakuje budynki. \n\nNajedź na niego, aby dowiedzieć się więcej.","Todo ataque inimigo é anunciado. No próximo turno, este inimigo atacará as estruturas.\n\nPonha o cursor sobre o inimigo para se informar sobre o ataque dele.","О каждой вражеской атаке игра сообщает вам заранее. На следующем ходу этот враг попытается атаковать здания.\n\nНаведите курсор на врага, чтобы увидеть подробности грядущей атаки.","Todos los ataques de los enemigos se saben de antemano. El próximo turno, este atacará a los edificios.\n\nPasa el cursor sobre un enemigo para conocer los detalles sobre su ataque."
Tutorial_CombatMonster_Title,Enemy Attacks,Enemy Attacks,Attaques ennemies,Gegnerischer Angriff,적 공격,Ataki wroga,Ataques Inimigos,Вражеские атаки,Ataques enemigos
Tutorial_CombatMech_Text,This is your Combat Mech. It can punch any adjacent tile. \n\nSelect your Mech now by clicking on it.,This is your Combat Mech. It can punch any adjacent tile. \n\nSelect your Mech now by clicking on it.,Voici votre Mecha de combat. Il est capable de frapper n'importe quelle case adjacente. \n\nSélectionnez votre Mecha en cliquant dessus.,"Dies ist dein Kampfmech. Er kann jedes benachbarte Feld angreifen.\n\nKlicke jetzt auf deinen Mech, um ihn auszuwählen.",이 것은 전투 메크입니다. 인접한 타일을 칠 수 있습니다. \n\n클릭해서 메크를 선택하세요. ,"To jest twój Mech Bojowy. Może walnąć pięścią w przylegające pole. \n\nKliknij mecha, aby go wybrać.",Este é o seu Meka Guerreiro. Ele soca qualquer espaço adjacente.\n\nClique no seu Meka para selecioná-lo.,"Это ваш ударный мех. Он может бить по соседним клеткам.\n\nЩелкните по меху, чтобы выбрать его.",Este es tu mech de combate. Puede dar un puñetazo a cualquier casilla adyacente.\n\nSelecciona al mech haciendo clic en él.
Tutorial_CombatMech_Title,Combat Mech,Combat Mech,Mecha de combat,Kampfmech,전투 메크,Mech Bojowy,Meka Guerreiro,Ударный мех,Mech de combate
Tutorial_CombatMech_Gamepad_Text,This is your Combat Mech. It can punch any adjacent tile. \n\nUse the [Left Stick] to hover over the Mech and press the [A Button] to select it.,This is your Combat Mech. It can punch any adjacent tile. \n\nUse the [Left Stick] to hover over the Mech and press the [A Button] to select it.,Voici votre Mecha de combat. Il est capable de frapper n'importe quelle case adjacente. \n\nUtilisez le [levier gauche] pour amener le curseur sur votre Mecha et appuyez sur le [bouton A] pour le sélectionner.,Dies ist dein Kampfmech. Er kann jedes benachbarte Feld angreifen.\n\nBewege dich mit dem [linken Stick] auf den Mech und drücke den [A-Knopf].,이 것은 전투 메크입니다. 인접한 타일을 칠 수 있습니다.\n\n[Left Stick]로 메크 위에 커서를 올리고 [A Button]으로 선택하세요.,"To jest twój Mech Bojowy. Może walnąć pięścią w przylegające pole. \n\nUżyj [lewego drążka], aby najechać na mecha i naciśnij [przycisk A], aby go wybrać.",Este é seu Meka Guerreiro. Ele soca qualquer espaço adjacente.\n\nUse [Analógico Esquerdo] para pôr o cursor sobre o Meka e pressione [Botão A] para selecioná-lo.,"Это ваш ударный мех. Он может бить по соседним клеткам.\n\nНаведите на него курсор с помощью [левого мини-джойстика] и нажмите [кнопку A], чтобы выбрать его.",Este es tu mech de combate. Puede dar un puñetazo a cualquier casilla adyacente.\n\nUsa la [palanca izquierda] para pasar el cursor sobre el mech y pulsa el [botón A] para seleccionarlo.
Tutorial_CombatMech_Gamepad_Title,Combat Mech,Combat Mech,Mecha de combat,Kampfmech,전투 메크,Mech Bojowy,Meka Guerreiro,Ударный мех,Mech de combate
