ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
Region_Names_CEO_Grass_1,"Archival Flats, Historic County, Safeguard Valley, Forgotten Hills, Central Museums, Martial District, Old Town, Storage Vaults, Secondary Archives, Remembrance Point, Colonial Park, OhmTown, Old Earth Park, The Library, Exhibits Archive, Accord Repository, Chronology Hall, Retrospect Park, Relic Preserves, The Pasture, Preserved Farms, Restoration Center, Research Center, Artifact Vaults, Renovation Complex, Archivist Hall, Antiquity Row, Excavation Site",,"Plaine des Archives, Conté Historique, Vallée des Protecteurs, Collines Oubliées, Musées Centraux, District Martial, Vieille Ville, Abris de Stockage, Archives Secondaires, Pointe du Souvenir, Parc Colonial, Ohmville, Parc de la Terre d'antan, Bibliothèque, Archives des Expositions, Dépôt des Accords, Hall de la Chronologie, Parc des Rétrospectives, Réserve des Reliques, Pâturage, Fermes Préservées, Centre de Restauration, Centre de Recherche, Abri des Archives, Complexe de Rénovation, Hall des Archivistes, Allée des Antiquités, Site de Fouilles","Archive-Ebenen, Historisches Land, Schutztal, Vergessene Hügel, Zentrale Museen, Militärbezirk, Altstadt, Vorratsbunker, Zweitarchiv, Ort der Erinnerung, Kolonialpark, Ohmstadt, Alte-Welt-Park, Die Bibliothek, Archive-Exponate, Verzeichnislager, Chronologiehalle, Retropark, Reliktmuseum, Das Weideland, Altes Farmland, Restaurationszentrum, Forschungszentrum, Artefaktgewölbe, Renovierungskomplex, Archivarhalle, Antiquitätensammlung, Ausgrabungsstätte","기록보관 단지, 역사 자치주, 유실보호 계곡, 잊혀진 언덕, 중앙 박물관, 전쟁 지구, 오래된 마을, 보관 금고, 보조 보관소, 추도원, 식민지 시대 지역, 옴 마을, 구 지구 지역, 도서관, 전시품 보관소, 기록 저장소, 연대기 홀, 복고 공원, 유물 보존소, 목초지, 보존 농원, 복원 센터, 연구 센터, 유물 저장고, 복원 단지, 아카이브 회관, 고대 거리, 발굴지","Archiwalne Równiny, Historyczne Hrabstwo, Dolina Dziedzictwa, Zapomniane Wzgórza, Centralne Muzea, Dzielnica Wojskowa, Stare Miasto, Krypty Magazynowe, Drugorzędne Archiwa, Miejsce Upamiętnienia, Park Kolonialny, Miasto Ohma, Park Starej Ziemi, Biblioteka, Archiwum Eksponatów, Repozytorium Porozumień, Sale Chronologii, Park Retrospekcji, Rezerwat Reliktów, Pastwisko, Zachowane Farmy, Centrum Przywracania, Centrum Badawcze, Krypty Artefaktów, Kompleks Renowacyjny, Sale Archiwistów, Aleja Antyków, Wykopalisko","Planícies Arquivais, Distrito Histórico, Vale Protegido, Colinas Esquecidas, Museus Centrais, Distrito Militar, Vila Velha, Cofres Estocais, Arquivos Secundários, Ponto Memorial, Parque Colonial, Vila Ohm, Parque da Terra Antiga, Biblioteca, Arquivo de Exposições, Acervo de Acordos, Salão Cronológico, Parque da Retrospectiva, Relicários, Pradaria, Campos Preservados, Centro de Restauração, Centro de Pesquisa, Cofres de Artefatos, Complexo de Renovação, Salão Arquivista, Linha de Antiguidades, Local de Escavação","Архивная равнина, Исторический округ, Долина Безопасности, Позабытые холмы, Центральные музеи, Армейский сектор, Старый город, Защищенные хранилища, Дополнительные архивы, Памятный пик, Колониальный парк, Ампертаун, Парк Старой Земли, Библиотека, Запасники, Репозиторий Согласия, Зал Хронологии, Ретроспективный парк, Реликвии Эпох, Пастбище, Защищенные фермы, Центр реставрации, Исследовательский центр, Хранилища Артефактов, Реставрационный комплекс, Зал Архивариусов, Аллея Антикваров, Зона раскопок","Llanos Archivo, Zona Histórica, Salvaguarda, Montes Olvidados, Museos Centrales, Distrito Marcial, Ciudad Vieja, Almacenamiento, Subarchivos, Punto Recuerdo, Parque Colonial, Villa Ohm, Parque Vieja Tierra, La Biblioteca, Archivo Pruebas, Custodia Acuerdos, Sala Cronología, Parque Pasado, Reliquias, Los Pastos, Granjas, Restauración, Investigación, Artefactos, Renovación, Archiveros, Antigüedades, Excavación"
Region_Names_CEO_Sand_1,"Black Rock, Phoenix Park, Lone Mesa, Rust District, Hardened Shale, Sheer County, Fox Plateau ,Mercury Ridge, Red Sands, Countdown Ridge, Doomsday Point, Thunderbolt Grid, Detonation Park, Proving Grounds,Erosion Flats, Tectonic Site 3.1, Sierra Quadrant, Test Site Delta,Test Site Echo, QA Division, Suncatcher Array, Scorched Earth, Razor Shore, Razor Bay, Crater Bay, Blast Bunker, Strafe Zone Beta,Detonation Bay,New Terra,Dust Bowl,Rust Dunes, D-CM Test Site,Hardin Point,Kern's Folly,The Scar, Gamma Trench,Geothermal Station,Restricted Area,Turbine Cluster,Maglev Bunkers,Lightning Point,Tesla Fields,Disintegration Flats,Beautiful Corner,The Blast Garden,R.S.T. Training, R.S.T. Perimeter, R.S.T. Quake Fence, Turbine Sinks, Storm Mill,The Haze,Rust Beach,Weather Watch,Storm Summit, Cleft, The Rift, Dead Bird Field, Scrapyard",,"Rochenoire, Parc du Phénix, Mesa Solitaire, District de la Rouille, Schiste Durci, Conté des À-Pics, Plateau des Renards, Crête Mercuriale, Sables Rouges, Crête du Compte-à-Rebours, Pointe de la Fin du Monde, Réseau du Tonnerre, Parc des Détonations, Terrain des Épreuves, Plaine de l'Érosion, Site Tectonique 3.1, Quadrant Sierra, Site de Test Delta, Site de Test Echo, Division des Essais, Réseau de Captesol, Terre Brûlée, Côte du Rasoir, Baie du Rasoir, Baie du Cratère, Bunker Anti-explosions, Zone de Mitraillage Bêta, Baie des Détonations, Terra Nova, Bassin de Poussière, Dunes de Rouille, Site de Test de D-CM, Pointe d'Hardin, Folie de Kern, Balafre, Tranchée Gamma, Station Géothermale, Zone Interdite, Amas de Turbines, Bunkers Antimagnétiques, Pointe de la Foudre, Champs de Tesla, Plaine de la Désintégration, Bel Angle, Jardin du Souffle, Zone d'Entraînement de R.S.T., Périmètre de R.S.T., Clôture Antiséismes de R.S.T., Fosses à Turbines, Moulin des Tempêtes, Brume, Plage de Rouille, Veille-Tempête, Sommet des Tempêtes, Crevasse, Faille, Champ des Oiseaux Morts, Casse","Schwarzfelsen, Phönixpark, Abgeschiedener Tafelberg, Rostbezirk, Hartschiefer, Steilklippen, Fuchsplateau, Quecksilbergrat, Roter Sand, Countdown-Kliff, Weltenpunkt, Donnerfeld, Sprengpark, Testgelände, Witterplatte, Tektonik 3.1, Sierra-Quadrant, Testgelände Delta,Testgelände Echo, QS-Abteilung, Sonnenfängeranlage, Schwarze Erde, Messerküste, Messerbucht, Kraterbucht, Sprengbunker, Schusszone Beta, Sprengbucht, Neue Erde, Staubkessel, Rostdünen, D-CM-Testgelände, Hardinpunkt, Kerns Spiel, Die Narbe, Gamma-Graben, Geothermiestation, Sperrgebiet, Turbinenanlage, Maglev-Bunker, Blitzpunkt, Teslafelder, Desintegrationsebenen, Schöneck, Der Sprenggarten, R.S.T.-Training, R.S.T.-Perimeter, R.S.T.-Bebensperre, Turbinenfall, Sturmmühle, Der Dunst, Roststrand, Wetterstation, Sturmgipfel, Kluft, Der Riss, Totenvogelfeld, Schrottplatz","흑암 지대, 불사조 공원, 메사 지형, Rust District, 변성암 지대, Sheer County, 여우 평원, Mercury Ridge, 적사 지대, Countdown Ridge, Doomsday Point, Thunderbolt Grid, 발파 공원, Proving Grounds, 침식 구릉, 3.1 발파지, Sierra Quadrant, 델타 시험지, 에코 시험지, QA 부서, 집열 집합체, Scorched Earth, Razor Shore, Razor Bay, 분화구 만, 폭발대피 벙커, Beta 폭격지,발파 만,뉴 테라,Dust Bowl,Rust Dunes, D-CM 시험장,Hardin Point,Kern's Folly,The Scar, Gamma Trench,지열 스테이션,제한 구역,터빈 단지,자기부상 벙커,Lightning Point,테슬라 필드, 분해 구릉,Beautiful Corner,폭발 정원,R.S.T. 훈련장, R.S.T. 외곽지대, R.S.T. Quake Fence, 터빈 개수대, Storm Mill,The Haze,산화 해변,기상 관측소,Storm Summit, Cleft, 협곡, Dead Bird Field, 고철 처리장","Czarna Skała, Park Feniksa, Mesa Samotności, Rdzawa Dzielnica, Utwardzone Złoża, Strome Hrabstwo, Lisi Płaskowyż, Rtęciowe Pasmo, Czerwone Piaski, Pasmo Odliczania, Punkt Zagłady, Sektor Piorunów, Park Detonacji, Poligon, Równiny Erozji, Lokacja Tektoniczna 3.1, Kwadrant Sierra, Poligon Doświadczalny Delta, Poligon Doświadczalny Echo, Sektor Kontroli Jakości, Układ Słońcołapacza, Spalona Ziemia, Brzeg Brzytw, Zatoka Brzytw, Zatoka Krateru, Bunkier, Strefa Ostrzału Beta, Zatoka Detonacji, Nowa Terra, Pyłowa Misa, Wydmy Rdzy, Poligon Testowy D-CM, Punkt Hardina, Szaleństwo Kern, Bruzda, Okop Gamma, Stacja Geotermalna, Obszar Zastrzeżony, Skupisko Turbin, Bunkry Magnetyczne, Punkt Błyskawic, Pola Tesli, Równiny Dezintegracji, Piękny Zakątek, Ogród Eksplozji, Teren Szkoleniowy R.S.T., Perymetr R.S.T., Ogrodzenie Wstrząsowe R.S.T., Zagłębienia Turbinowe, Burzowy Młyn, Kłęby, Plaża Rdzy, Obserwatorium Pogody, Burzowy Szczyt, Szczelina, Rów Tektoniczny, Pola Martwych Ptaków, Wysypisko","Pedra Negra, Parque Fênix, Planalto Só, Distrito Ferrugento, Ardósias Rígidas, Condado Pleno, Planalto da Raposa, Serra Mercúrio, Areias Escarlate, Serra da Contagem, Ponto do Fim, Rede Trovão, Parque Explosivo, Campo de Provas, Campos Erosivos, Local Tectônico 3.1, Quadrante Sierra, Testes Delta, Testes Echo, Divisão de QA, Matriz Solar, Terra Queimada, Costa Afiada, Baía Afiada, Baía da Cratera, Abrigo Explosivo, Zona de Manobras Delta, Baía da Detonação, Nova Terra, Grande Seca, Dunas Ferrugentas, Testes D-CM, Ponta da Flecha, Extravagância de Kern, A Cicatriz, Trincheira Gamma, Estação Geotérmica, Área Restrita, Conjunto de Turbinas, Abrigos Maglev, Ponto do Choque, Campos de Tesla, Planos Fragmentados, Recanto Belo, Jardim Explosivo, Treinamento R.S.T., Perímetro R.S.T., Cerca Sísmica, Sumidouro de Turbinas, Usina Tempestade, Nevoeiro, Praia da Ferrugem, Farol do Tempo, Pico da Tempestade, Fosso, A Fenda, Campo dos Pássaros Caídos, Ferro-velho","Черная скала, Феникс-парк, Одинокое плоскогорье, Коррозия Металла, Сланцы, Крутые горки, Лисья долина, Хребет Меркурий, Красные пески, Финальный Отсчет, Пик решимости, Грозовой квартал, Подрывной парк, Испытательный полигон, Эрозионная долина, Тектоник 3.1, Сектор «Сьерра», Полигон «Дельта», Полигон «Эхо», Зона тестирования, Комплекс «Солнце», Выжженная Земля, Бритвенный берег, Бритвенный залив, Кратерный залив, Безопасный бункер, Опасная зона «Бета», Подрывной залив, Новая Терра, Пыльный Котел, Ржавые дюны, Сектор «Тест-1», Мыс Хардина, Прихоть Керн, Шрам, Впадина «Гамма», Геотермальная станция, Запретная зона, Турбинный комплекс, Транспортные бункеры, Пик молний, Поля Тесла, Равнина дезинтеграции, Живописный уголок, Ударная Волна, Училище «Р.Ж.А.», Периметр «Р.Ж.А.», Защитная ограда «Р.Ж.А.», Турбинные компенсаторы, Грозовой комплекс, Туманная дымка, Ржавый берег, Контроль погоды, Грозовая вершина, Расселина, Разлом, Равнина Мертвых Птиц, Свалка","Roca Negra, Parque Fénix, Meseta Solitaria, Distrito Óxido, Esquisto Duro, Zona Escarpada, Meseta de Zorros, Mercurio, Arenas Rojas, Cuenta Atrás, Día del Juicio, Red del Trueno, Parque Detonación, Tierras Provisión, Llanos de Erosión, Punto Tectónico, Cuadrante Sierra, Pruebas Delta, Pruebas Eco, División Calidad, Paneles Solares, Tierra Quemada, Costa Afilada, Bahía Afilada, Bahía del Cráter, Búnker Explosión, Bombardeo Beta, Bahía Detonación, Nova Terra, Tormenta de Polvo, Dunas del Óxido, Pruebas de DCM, Punto Hardin, Locura de Kern, La Cicatriz, Trinchera Gamma, Estación Geotermia, Zona Restringida, Grupo de Turbinas, Levitación Magnética, Punto Relámpago, Campos Tesla, Desintegración, Rincón Hermoso, Jardín Explosión, Formación R.S.T., Perímetro R.S.T., Valla Sísmica R.S.T., Fosas de Turbinas, Fábrica Tormentas, La Neblina, Playa del Óxido, Control Climático, Cima Tormenta, La Brecha, La Grieta, Aves Muertas, Chatarrería"
Region_Names_CEO_Snow_1,"Frozen Plains, Ice Forest, Central Processor, Cold Storage, Robotics Repair, Secondary Cooling, Lifeless Basin, A.I. Training, Cryogenic Labs, Silicate Plains, The Tundra, Sub-Zero Range, Central Cryonics, Shielded Vaults, District Z-1001, District Z-1101, Pinnacle Garden, Glacier Cliff, Venting Field, Thermal Dampeners",,"Plaine Gelée, Forêt de Glace, Processeur Central, Stockage Gelé, Réparation des Robots, Refroidissement Secondaire, Bassin Sans Vie, Entraînement des IA, Labos Cryogéniques, Plaine de Silice, Toundra, Étendue Négative, Cryonique Centrale, Abris Protégés, District Z-1101, Jardin de Pinacle, Falaise du Glacier, Champ d'Évacuation, Tampons Thermiques","Frostweite, Eiswald, Zentralrechner, Kühllager, Roboterreparatur, Sekundärkühlung, Totes Becken, KI-Training, Kryogenisches Labor, Silikatebene, Die Tundra, Tiefkühlkette, Zentrale Kryonik, Schildbunker, Bezirk Z-1001, Bezirk Z-1101, Pinnacle-Garten, Gletscherkante, Lüftungsfeld, Thermaldämpfer","얼어붙은 평원, 얼음 숲, 중앙 처리장치, 냉동고, 로봇 수리공학, 보조 냉각장치, 무생명 분지, A.I. 훈련장, 극저온 연구소, 규산염 평원, 툰드라 지대, 영하 지대, 중앙 냉동장치, 보호 저장고, Z-1001 구역, Z-1101 구역, 피나클 정원, 빙하 절벽, 환기구 단지, 발열 제어기","Zamrożone Równiny, Lodowy Las, Centralny Procesor, Chłodnia, Robo-warsztat, Chłodzenie Wtórne, Dorzecze Pustki, Centrum Szkoleniowe S.I., Laboratorium Kriogeniczne, Krzemienne Równiny, Tundra, Lodowe Pasmo, Centrala Kriogeniki, Osłonięte Krypty, Dystrykt Z-1001, Dystrykt Z-1101, Ogród Pinnacle Robotics, Klif Lodowca, Pole Odpowietrzania, Wymienniki Ciepła","Planos Gélidos, Floresta de Gelo, Processador Central, Câmara Fria, Robótica Reparos, Resfriamento Secundário, Bacia Morta, Treinamento IA, Labs. Criogênicos, Planícies de Silicato, A Tundra, Faixa Sub-Zero, Criogenia Central, Câmaras Blindadas, Distrito Z-1001, Distrito Z-1101, Jardim do Pináculo, Abismo Glacial, Campo de Ventilação, Amortecedores Termais","Ледяные равнины, Морозный лес, Центральный процессор, Морозилка, Ремонт робототехники, Второй контур, Безжизненная впадина, Обучение ИИ, Криогенная лаборатория, Силикатные равнины, Тундра, Отрицательные температуры, Криоцентр, Экранированные хранилища, Сектор Z-1001, Сектор Z-1101, Сад «Пиннакл», Ледниковый утес, Поле охлаждения, Температурный контроль","Llanuras Gélidas, Bosque Helado, Procesador Central, Almacén Frigorífico, Reparación Robótica, Subrefrigeración, Cuenca Yerma, Formación de IA, Criogenia, Llanuras Silíceas, La Tundra, Cadena Bajo Cero, Central Criogénica, Cámaras Protegidas, Distrito Z-1001, Distrito Z-1101, Jardín de Pinnacle, Barranco Glaciar, Campo Aireación, Atenuadores Térmicos"
Region_Names_CEO_Acid_1,"The Wasteland, Downtown, Reclamation Zone, Reprocessing, Scrapheap, Venting Center, Teleport Facility, Venting Fields, Waste Chambers, Disposal Vault, Chemical Field A, Disposal Site C, The Landfill, The Heap, Nano Silos, Nanite Farms, Containment Zone D, Containment Zone J, Pumping Station",,"Terre Dévastée, Centre-Ville, Zone des Réclamations, Retraitement, Ferraille, Centre d'Évacuation, Complexe de Téléportation, Champs d'Évacuation, Déchetteries, Abri d'Élimination, Champ Chimique A, Site d'Élimination C, Zone d'Enfouissement, Décharge, Nano-Silos, Fermes à Nanites, Zone de Confinement D, Zone de Confinement J, Station de Pompage","Die Einöde, Stadtzentrum, Reklamationszone, Wiederaufbereitung, Schrotthaufen, Lüftungszentrum, Teleportanlage, Lüftungsfelder, Abfallkammern, Entsorgungsbunker, Chemiefeld A, Entsorgungsbereich C, Die Mülldeponie, Der Haufen, Nanosilos Nanitenfarmen, Sicherheitszone D, Sicherheitszone J, Pumpstation","황무지, 중심가, 간척지, 재처리장, 폐품더미, 배기 센터, 텔레포트 시설, 환풍구, 폐수 저장소, 폐기물 저장고, 화학 처리장 A, 폐기장 C, 매립지, 무더기, 나노 사일로, 미세공정 시설, 격납지대 D, 격납지대 J, 펌프장","Pustkowie, Centrum, Strefa Odzysku, Reprocesowalnia, Hałdy Złomu, Centrum Odpowietrzania, Ośrodek Teleportujący, Pola Odpowietrzania, Komory Odpadów, Krypta Odpadów, Pole Chemikaliów A, Strefa Odpadów C, Wysypisko, Hałda, Silos Nanobotów, Farmy Nanitowe, Strefa Zamknięta D, Strefa Zamknięta J, Przepompownia","Área Deserta, Centro, Zona Retomada, Reprocessamento, Sucataria, Centro de Ventilação, Unidade de Teletransporte, Campos de Ventilação, Câmaras Residuais, Cofre de Resíduos, Campo Químico A, Local de Descarte C, O Aterro, O Monte, Nano Silos, Campos de Nanitos, Zona de Contenção D, Zona de Contenção J, Bombeadora","Мусоросборочная, Деловой центр, Сортировочная, Переработка, Металлолом, Напорный центр, Телепорт-комплекс, Поля газосброса, Отбросохранилище, Склеп захоронения, Химзона А, Зона отходов C, Свалка, Куча, Наноблоки, Нанофермы, Зараженная зона D, Карантинный сектор J, Насосная станция","El Erial, El Centro, Zona Recuperación, Reprocesamiento, Montón Chatarra, Centro Aireación, Teletransporte, Campos Aireación, Cámaras Residuos, Cámara Desechos, Campo Químico A, Zona Desechos C, El Basurero, El Montón, Nanosilos, Granjas Nanitos, Zona Contención D, Zona Contención J, Estación Bombeo"
Island_Perfect_CEO_Grass_1,"You accomplished every Archive mission, an astounding accomplishment! Please, you and the #squad accept this as thanks.",,"Vous avez accompli toutes les missions d'Archive, ce qui constitue un fantastique exploit ! Veuillez accepter ceci, vous et tous les #squad.","Sie haben alle Archive-Missionen abgeschlossen, eine erstaunliche Leistung! Bitte sehr, für Sie und die #squad als Zeichen unseres Danks.",모든 아카이브 임무에서 정말 놀라운 성취를 보여주셨습니다! 여기 성은의 표현으로 이 것을 당신과 #squad분대가 가져가세요.,"Udało ci się ukończyć wszystkie misje Archive, Inc.! To wspaniałe osiągnięcie! Przyjmijcie to na dowód wdzięczności, ty oraz #squad.","Você cumpriu todas as missões da Arquivo, uma bela conquista! Fiquem com este agradecimento, você e os #squad!","Вы справились со всеми заданиями «Архивов» — это выдающееся достижние! #squad, примите это в знак нашей признательности.",Habéis superado todas las misiones de Archivo. ¡Una verdadera hazaña! Queremos daros esto a los #squad y a ti como muestra de agradecimiento.
Island_Perfect_CEO_Sand_1,"You completed every mission on R.S.T. despite the odds. You've earned my respect, #squad - and everything we can offer.",,"En dépit du danger, vous avez accompli toutes les missions de R.S.T. Les #squad ont amplement mérité notre respect, et tout ce que nous sommes en mesure de vous offrir.","Sie haben trotz allem die R.S.T.-Missionen abgeschlossen. Sie haben meinen Respekt verdient, #squad ... und alles, was wir Ihnen bieten können.","You completed every mission on R.S.T. despite the odds. You've earned my respect, #squad - and everything we can offer.","Pomimo znikomych szans powodzenia udało ci się ukończyć każdą misję na wyspie R.S.T. Masz moją dozgonną wdzięczność. Niech #squad biorą wszystko, co możemy im zaoferować.","Apesar das circunstâncias, vocês concluíram todas as missões na R.S.T. Vocês têm meu respeito, #squad, e o que mais pudermos oferecer.","Несмотря на все трудности, вы выполнили все задания «Р.Ж.А.». #squad и вы лично заработали мое уважение, а вместе с ним и нашу посильную помощь.","Habéis superado todas las misiones de R.S.T. contra todo pronóstico. #squad, os habéis ganado mi respeto... y todo lo que podemos ofrecer."
Island_Perfect_CEO_Snow_1,"You have saved Pinnacle, accomplishing every objective without fail. Allow me to provide additional aid.",,Vous avez sauvé Pinacle en menant à bien la totalité de vos objectifs. Permettez-moi de vous offrir un petit quelque chose...,Sie haben Pinnacle gerettet und alle Ziele fehlerlos erfüllt. Ich würde Ihnen gern weiterhin helfen.,"You have saved Pinnacle, accomplishing every objective without fail. Allow me to provide additional aid.",Udało ci się uratować Pinnacle Robotics. Wszystkie misje zakończyły się sukcesem. Pozwól mi zapewnić ci dodatkowe wsparcie.,"Você salvou a Pináculo, cumprindo sem falhas todos os objetivos. Permita-me oferecer um auxílio extra.","Вы спасли «Пиннакл», безупречно справившись со всеми заданиями. Позвольте нам помочь вам в вашем нелегком деле.","Habéis salvado a Pinnacle y superado todos los objetivos sin tacha. Por ello, deseo ofreceros ayuda adicional."
Island_Perfect_CEO_Acid_1,"#squad, it my pleasure to inform you your success rate is 100%. Detritus corporate bylaws dictate you've earned a bonus.",,"J'ai le plaisir de vous informer que le taux de succès des #squad se monte à 100 %. Dans ces conditions, la politique de DétriTue est claire : vous méritez un bonus.","#squad, Ihre Erfolgsrate liegt bei 100%. Die Geschäftsordnung von Detritus schreibt vor, dass Sie einen Bonus erhalten.","#squad, it my pleasure to inform you your success rate is 100%. Detritus corporate bylaws dictate you've earned a bonus.","#squad, z przyjemnością informuję że osiągnęliście 100% powodzenia. Zgodnie z rozporządzeniami korporacji Detritus należy wam się premia.","#squad, é um prazer informar que sua taxa de sucesso é 100%. Segundo as diretrizes da Detritus, vocês ganharam um bônus.","#squad, с удовольствием сообщаю вам, что ваша эффективность на отметке 100%. Согласно внутренним правилам «Детритус», вам полагается материальная премия.","#squad, me complace informaros de que habéis tenido un 100% de éxito. Los estatutos sociales de Detritus establecen que recibáis una bonificación por ello."
Island_Perfect_CEO_Acid_2,"Detritus has an aggressive bonus plan for excellence in performance, commander. You and your #squad deserve it.",,"DétriTue a mis en place un bonus afin de récompenser l'excellence, commandant. Et les #squad l'ont clairement mérité.","Detritus verfügt über einen umfassenden Bonusplan für herausragende Leistungen, Commander. Sie und die #squad haben es sich verdient.","Detritus has an aggressive bonus plan for excellence in performance, commander. You and your #squad deserve it.","Detritus oferuje sowitą premię za perfekcyjne wykonanie zadań, dowódco. Zasługujesz na to zarówno ty, jak i #squad.","Detritus tem um plano agressivo de bônus por excelência em desempenho, comandante. Você e #squad o merecem.","«Детритус» славится премиальной программой за выдающиеся достижения. Командир, вы и #squad заслужили поощрение.","Detritus tiene un plan de bonificaciones agresivo para fomentar la excelencia en el rendimiento, comandante. Tus #squad y tú os lo habéis ganado."
Island_Perfect_CEO_Acid_3,"Due to your efforts, commander, our success to failure ratio has reversed since your arrival. Permit Detritus to share the fruits of that success with you.",,"Grâce à vous, nous accumulons les succès, commandant. Permettez-nous de vous faire profiter de nos gains. Avec les remerciements de DétriTue !","Aufgrund Ihrer Anstrengungen hat sich unser Verhältnis von Erfolg und Misserfolg umgekehrt, Commander. Detritus möchte gern die Früchte des Erfolgs mit Ihnen teilen.","Due to your efforts, commander, our success to failure ratio has reversed since your arrival. Permit Detritus to share the fruits of that success with you.","Dowódco, dzięki waszym wysiłkom nasz współczynnik zwycięstw do porażek całkowicie się odwrócił. Pozwólcie, aby korporacja Detritus podzieliła się z wami owocami tego sukcesu.","Comandante, graças aos seus esforços recuperamos nossa taxa de sucessos e falhas. Permita que Detritus divida os frutos deste sucesso com você.","Командир, благодаря вашим усилиям коэффициент успешных боев вырос в разы. Позвольте «Детритус» разделить с вами плоды успехов.","Gracias a tus desvelos, comandante, nuestro ratio éxito-fracaso se ha invertido desde que llegaste. Por ello, Detritus quiere compartir contigo los frutos del éxito."
