ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
Str_Research_Name,Defense Lab,Defense Lab,Labo de défense,Militärlabor,방위 연구소,Laboratorium obronne,Lab. de Defesa,Оборонный НИИ,Laboratorio de defensa
Str_Robotics_Name,Robotics Lab,Robotics Lab,Labo de robotique,Robotiklabor,로봇공학 연구소,Laboratorium robotyki,Lab. de Robótica,НИИ робототехники,Laboratorio de robótica
Str_Bar_Name,Old Earth Bar,Old Earth Bar,Bar terrestre,Alte-Welt-Bar,구 지구 술집,Bar Dawnej Ziemi,Bar da Terra Antiga,Бар Старой Земли,Bar de la Vieja Tierra
Str_Tower_Name,Corporate Tower,Corporate Tower,Tour de bureaux,Konzernturm,기업 본사,Wieża korporacyjna,Torre Corporativa,Офис корпорации,Torre corporativa
Str_Power_Name,Coal Plant,Coal Plant,Usine de charbon,Kohlekraftwerk,석탄 발전소,Elektrownia węglowa,Usina de Carvão,ТЭЦ,Central térmica
Str_Clinic_Name,Clinic,Clinic,Clinique,Klinik,병원,Szpital,Clínica,Клиника,Clínica
Str_Shield_Name,Shield Generator,Shield Generator,Générateur de bouclier,Schildgenerator,쉴드 생성기,Generator osłon,Gerador de Escudo,Генератор щитов,Generador de escudos
Str_Nimbus_Name,Power Generator,Power Generator,Générateur,Energiegenerator,발전소,Generator mocy,Gerador de Energia,Энергогенератор,Generador eléctrico
Str_Battery_Name,Emergency Batteries,Emergency Batteries,Batteries d'urgence,Notfallbatterien,비상 축전기,Akumulatory awaryjne,Baterias de Emergência,Резервные батареи,Baterías de emergencia
Str_Combat_Name,Airfield,Airfield,Aérodrome,Flugfeld,비행장,Lądowisko,Aeródromo,Аэродром,Aeródromo
Corp_Grass_CEO_Name,Dewey Alms,Dewey Alms,Dewey Alms,Dewey Alms,듀이 암스,Dewey Alms,Dewey Alms,Дьюи Алмс,Dewey Alms
Corp_Grass_Name,"Archive,  Inc.","Archive,  Inc.","Archive, Inc.",Archive Inc.,아카이브 주식회사,"Archive, Inc.",Arquivo Ltda.,ЗАО «Архивы»,Archivo S.A.
Corp_Grass_Environment,Temperate,Temperate,Tempéré,Gemäßigt,온대기후,Umiarkowane,Temperado,Умеренный,Templado
Corp_Desert_CEO_Name,Jessica Kern,Jessica Kern,Jessica Kern,Jessica Kern,제시카 컨,Jessica Kern,Jessica Kern,Джессика Керн,Jessica Kern
Corp_Desert_Name,R.S.T. Corporation,R.S.T. Corporation,R.S.T. Corporation,R.S.T. Corporation,R.S.T. 조합,Korporacja R.S.T.,Corporação R.S.T.,ЗАО «Р.Ж.А.»,Corporación R.S.T.
Corp_Desert_Environment,Desert,Desert,Désert,Wüste,사막기후,Pustynne,Deserto,Пустынный,Desértico
Corp_Snow_CEO_Name,Zenith,Zenith,Zénith,Zenith,제니스,Zenita,Zênite,Зенит,Zenith
Corp_Snow_Name,Pinnacle Robotics,Pinnacle Robotics,Pinacle Robotique,Pinnacle Robotics,피나클 로보틱스,Pinnacle Robotics,Robótica Pináculo,«Пиннакл Роботикс»,Pinnacle Robotics
Corp_Snow_Environment,Frozen,Frozen,Gelé,Eis,빙설기후,Lodowe,Congelado,Арктический,Gélido
Corp_Factory_CEO_Name,Vikram Singh,Vikram Singh,Vikram Singh,Vikram Singh,비크람 싱,Vikram Singh,Vikram Singh,Викрам Сингх,Vikram Singh
Corp_Factory_Name,Detritus Disposal,Detritus Disposal,DétriTue,Detritus AG,디트리투스 처리장,Detritus Recycling,Detritus Resíduos,«Детритус Диспозал»,Desechos Detritus
Corp_Factory_Environment,Industrial,Industrial,Industriel,Industrie,산업지대,Przemysłowe,Industrial,Промышленный,Industrial
Bonus_Kill,Kill all enemies before \nthey retreat,Kill all enemies before \nthey retreat,Tuer tous les ennemis avant \nqu'ils se replient,"Vernichte alle Gegner, bevor\nsie sich zurückziehen.",퇴각하기 전에\n적 섬멸,Zabij wszystkich wrogów\nzanim się wycofają,Mate todos os inimigos antes \nde recuarem,"Убейте всех врагов,\nпрежде чем они отступят",Mata a todos los enemigos\nantes de que se retiren.
Bonus_Grid,Less than 3 Grid Damage \n(Current Damage: $1),Less than 3 Grid Damage \n(Current Damage: $1),Moins de 3 dégâts au Réseau \n(Actuellement : $1),Weniger als 3 Netzschaden.\n(Derzeitiger Schaden: $1),전력망 피해 2 이하로 받기\n(현재 피해: $1),Strać mniej niż 3 pkt. Zasilania\n(obecnie: $1),Dano à Rede menor que 3 \n(Dano atual: $1),Менее 3 ед. урона сети \n(Текущий урон: $1),Menos de 3 de daño a la red.\n(Daño actual: $1)
