ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
Death_Revived_Artificial_1,Status: Functional,,Statut : Fonctionnel,Status: Funktionsfähig,상태: 가동중,Stan: działa,Situação: funcional,Состояние: полная работоспособность,Estado: Funcional
Death_Revived_Artificial_2,Status: Reactivated,,Statut : Réactivé,Status: Reaktiviert,상태: 재가동,Stan: reaktywowany,Situação: reativado,Состояние: повторная активация,Estado: Reactivado
Death_Main_Artificial_1,Damage Report: Critical,,Rapport de dégâts : État critique,Schadensbericht: Kritisch,피해 상황: 치명적,Raport obrażeń: krytyczne,Relatório de danos: crítico,Уровень повреждений: критический,Informe de daños: Críticos
Death_Response_Artificial_1,Pilot #main_second: Deceased\nTactical Efficiency: Compromised,,Pilote #main_second : Décédé\nEfficacité tactique : Compromise,Pilot #main_second: Verstorben\nTaktische Effizienz: Gefährdet,조종사 #main_second: 사망\n전술 효율: 저하,Pilot #main_second: nie żyje\nEfektywność taktyczna: zagrożona,Piloto #main_second: Falecido\nEficiência tática: comprometida,Пилот #main_second: гибель в бою\nБоевая эффективность: снижена,Piloto #main_second: Fallecido\nEficiencia táctica: Comprometida
Death_Response_AI_Artificial_1,#main_mech: Destroyed\nTactical Efficiency: Compromised,,#main_mech : Détruit\nEfficacité tactique : Compromise,#main_mech: Zerstört\nTaktische Effizienz: Gefährdet,#main_mech: 파괴\n전술 효율: 저하,#main_mech: mech zniszczony\nEfektywność taktyczna: zagrożona,#main_mech: destruído\nEficiência tática: comprometida,Мех «#main_mech»: уничтожен\nБоевая эффективность: снижена,#main_mech: Destruido\nEficiencia táctica: Comprometida
TimeTravel_Win_Artificial_1,Update: Data drives ready for temporal breach,,Mise à jour : Disques de données prêts pour brèche temporelle,Update: Datenlaufwerke bereit für Zeitsprung,상황 상황 갱신: 시간 균열을 위한 데이터 드라이브 준비 완료,Aktualizacja: nośniki danych gotowe na wyłom czasowy,Atualização: discos de dados prontos para fenda temporal,Сообщение: система готова к темпоральному переходу,Aviso: Unidades de datos preparadas para fisura temporal
Gameover_Start_Artificial_1,Status: Power Grid collapsing\nVek: Unstoppable,,Statut : Effondrement du Réseau\nVeks : Impossibles à arrêter,Status: Energienetz bricht zusammen\nVek: Unaufhaltsam,상태: 전력망 붕괴 중\nVek: 저지불가,Stan: Sieć Zasilania zdestabilizowana\nVeki: niepowstrzymane,Situação: Rede de Energia em colapso\nVek: imbatíveis,Состояние: коллапс энергосети\nВероятность выживания: нулевая,Estado: Colapso de red eléctrica\nVek: Imparables
Gameover_Response_Artificial_1,Humanity: Destroyed\nInitiate: Time breach,,Humanité : Détruite\nActivation : Brèche temporelle,Menschheit: Ausgelöscht\nInitiierung: Zeitsprung,인류: 파괴됨\n개시: 시간 균열,Ludzkość: zniszczona\nOtworzyć: wyłom czasowy,Humanidade: Destruída\nIniciar: fenda temporal,Человечество: уничтожено\nРешение: временной переход,Humanidad: Destruida\nIniciar: Fisura temporal
Upgrade_PowerWeapon_Artificial_1,Interfacing: New equipment detected,,Interface : Nouvel équipement détecté,Verbindung: Neue Ausrüstung erkannt,접속: 신규 장비 감지,Sprzęganie: wykryto nowy sprzęt,Acesso: novo equipamento detectado,Активирован интерфейс: обнаружено новое устройство,Interconexión: Nuevo equipamiento detectado
Upgrade_PowerWeapon_Artificial_2,Interfacing: Accessing new schematics,,Interface : Accès aux nouveaux schémas,Verbindung: Zugriff auf neue Schaltpläne,접속: 신규 설계에 접근 중,Sprzęganie: otwieranie nowych schematów,Acesso: lendo novo projeto,Активирован интерфейс: анализ новой конструкции,Interconexión: Accediendo a nuevos planos
Upgrade_NoWeapon_Artificial_1,Error: No weapon detected,,Erreur : Aucune arme détectée,Fehler: Keine Waffe erkannt,오류: 설치된 무기 없음,Błąd: nie wykryto broni,Erro: nenhuma arma detectada,Ошибка: оружие не обнаружено,Error: Ningún arma detectada
Upgrade_NoWeapon_Artificial_2,Tactical Efficiency: Sub-optimal,,Efficacité tactique : Non optimale,Taktische Effizienz: Suboptimal,전투 효율: 적정 수준 미달,Efektywność taktyczna: poniżej optymalnej,Eficiência tática: abaixo do recomendado,Боевая эффективность: неоптимальна,Eficiencia táctica: Subóptima
Upgrade_NoWeapon_Artificial_3,Warning: Weapon systems offline,,Alerte : Système d'armement hors ligne,Warnung: Waffensysteme offline,경고: 무장 시스템 꺼짐,Uwaga: systemy uzbrojenia wyłączone,Aviso: sistemas de armas desativados,Внимание: оружейные системы неактивны,Alerta: Sistemas de armamento inactivos
Upgrade_PowerGeneric_Artificial_1,Calibrating: Optimizing power levels,,Calibrage : Optimisation des niveaux d'énergie,Kalibrierung: Optimierung der Energielevel,재조정: 전력 수준 최적화 중,Kalibracja: optymalizowanie poziomów zasilania,Calibrando: otimizando níveis de energia,Калибровка: оптимизация задействованной мощности,Calibrando: Optimizando niveles de energía
Upgrade_PowerGeneric_Artificial_2,Update: Power distribution complete,,Mise à jour : Distribution d'énergie terminée,Update: Energieverteilung abgeschlossen,상황 상황 갱신: 전력 분배 완료,Aktualizacja: dystrybucja zasilania ukończona,Atualização: distribuição de energia concluída,Сообщение: распределение мощности завершено,Aviso: Distribución de energía completada
Upgrade_PowerGeneric_Artificial_3,Status: Mech optimized,,Statut : Mecha optimisé,Status: Mech optimiert,상태: 메크 최적화됨,Stan: mech zoptymalizowany,Situação: Meka otimizado,Состояние: мех оптимизирован,Estado: Mech optimizado
MissionStart_Artificial_1,Weapons: Online,,Armes : En ligne,Waffen: Online,무장: 가동,Broń: włączona,Armas: online,Вооружение: активно,Armamento: Activo
