ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
Tile_ftl_button_destroyed_Title,Destroyed Object,Destroyed Object,Objet détruit,Zerstörtes Objekt,파괴된 물체,Zniszczony przedmiot,Objeto Destruído,Уничтоженный предмет,Objeto destruido
Tile_ftl_button_destroyed_Text,"You're not sure what this was, but it's gone now.","You're not sure what this was, but it's gone now.","Vous ne savez pas vraiment ce que c'était, mais dans tous les cas, c'est totalement détruit.","Was es auch immer war, es ist jetzt fort.","뭐였는지 알 수는 없지만, 부셔졌습니다.","Nie wiesz, co to było, ale już nie istnieje.","O que será que isso era? Não sei, só sei que já era.","Вы не в курсе, что это было, но теперь его нет.","No tienes claro qué era, pero ya no está."
Tile_old_earth_mine_Title,Old Earth Mine,Old Earth Mine,Mine terrestre,Alte-Welt-Mine,구 지구 지뢰,Mina Dawnej Ziemi,Mina da Terra Antiga,Старая мина,Mina de la Vieja Tierra
Tile_old_earth_mine_Text,Any unit that stops on this space will trigger the mine and be killed.,Any unit that stops on this space will trigger the mine and be killed.,Toute unité s'arrêtant à cet endroit déclenche l'explosion de la mine et se fait tuer.,"Eine Einheit, die ihre Bewegung auf diesem Feld beendet, löst die Mine aus und wird vernichtet.",Any unit that stops on this space will trigger the mine and be killed.,"Jednostka, która stanie na tym polu, aktywuje minę i zginie.",Qualquer unidade que parar neste espaço ativará a mina e morrerá.,"Любой юнит, закончивший свой ход на этой клетке, подорвется на мине и погибнет.",Cualquier unidad que se detenga en este espacio activará la mina y morirá.
Tile_sand_Title,Sand Tile,Sand Tile,Case de sable,Sandfeld,모래 타일,Piasek,Espaço: Areia,Клетка с песком,Casilla de arena
Tile_sand_Text,"If damaged, turns into Smoke. \nUnits in Smoke cannot attack or repair.","If damaged, turns into Smoke. \nUnits in Smoke cannot attack or repair.","Si elle subit des dégâts, se transforme en fumigène. \nLes unités prises dans les fumigènes ne peuvent ni attaquer ni se réparer.","Wird das Feld beschädigt, entsteht Rauch.\nIn Rauch gehüllte Einheiten können weder angreifen noch reparieren.","If damaged, turns into Smoke. \nUnits in Smoke cannot attack or repair.","Gdy jest celem ataku, zamienia się w dym. \nJednostki spowite dymem nie mogą atakować i się naprawiać.","Quando sofre dano, solta Fumaça.\nUnidades na Fumaça não atacam nem se reparam.","При получении урона превращается в дым.\nЮниты не могут атаковать и ремонтироваться, пока находятся в дыму.","Si sufre daño, se convierte en humo.\nLas unidades rodeadas de humo no pueden atacar ni reparar."
Tile_smoke_Title,Smoke Tile,Smoke Tile,Case de fumigène,Rauchfeld,연막 타일,Dym,Espaço: Fumaça,Клетка с дымом,Casilla de humo
Tile_smoke_Text,Units in Smoke cannot attack or repair.,Units in Smoke cannot attack or repair.,Les unités prises dans les fumigènes ne peuvent ni attaquer ni se réparer.,In Rauch gehüllte Einheiten können weder angreifen noch reparieren.,Units in Smoke cannot attack or repair.,Jednostki spowite dymem nie mogą atakować i się naprawiać.,Unidades na Fumaça não atacam nem se reparam.,"Юниты не могут атаковать и ремонтироваться, пока находятся в дыму.",Las unidades rodeadas de humo no pueden atacar ni reparar.
Tile_belt_Title,Conveyor Belt,Conveyor Belt,Tapis roulant,Förderband,컨베이어 벨트,Pas transmisyjny,Esteira,Лента конвейера,Cinta transportadora
Tile_belt_Text,This tile will push any unit in the direction marked on the belt.,This tile will push any unit in the direction marked on the belt.,Cette case déplace toutes les unités dans la direction indiquée sur le tapis roulant.,Dieses Feld bewegt jede Einheit darauf in die auf dem Förderband angezeigte Richtung.,This tile will push any unit in the direction marked on the belt.,Jednostka na tym polu zostanie popchnięta w kierunku wskazanym na pasie.,Este espaço empurrará qualquer unidade na direção indicada na esteira.,"Перемещает любой юнит в направлении, указанном на ленте.",Esta casilla empujará a cualquier unidad en la dirección que indica la cinta.
