ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
SpiderlingAtk1_Name,Tiny Mandibles,Tiny Mandibles,Minuscules mandibules,Kleine Mandibeln,작은 턱,Małe Żuwaczki,Minimandíbulas,Маленькие жвала,Minimandíbulas
SpiderlingAtk1_Description,Weak attack against a single target.,Weak attack against a single target.,Attaque faible contre une cible unique.,Schwach gegen ein einzelnes Ziel.,한 목표에 약한 공격을 합니다. ,Słaby atak przeciwko jednemu celowi.,Ataque fraco contra um alvo.,Слабая атака по одной цели.,Un ataque débil contra un único objetivo.
SpiderlingAtk2_Name,Tiny Mandibles,Tiny Mandibles,Minuscules mandibules,Kleine Mandibeln,작은 턱,Małe Żuwaczki,Minimandíbulas,Маленькие жвала,Minimandíbulas
SpiderlingAtk2_Description,Weak attack against a single target.,Weak attack against a single target.,Attaque faible contre une cible unique.,Schwach gegen ein einzelnes Ziel.,한 목표에 약한 공격을 합니다. ,Słaby atak przeciwko jednemu celowi.,Ataque fraco contra um alvo.,Слабая атака по одной цели.,Un ataque débil contra un único objetivo.
ScorpionAtk1_Name,Stinging Spinneret,Stinging Spinneret,Filière piquante,Stechende Spinndrüse,따가운 돌기,Kłujące Kądziołki,Fiandeira Furadeira,Липкая ловушка,Hilera con aguijón
ScorpionAtk1_Description,"Web the target, preparing to stab it.","Web the target, preparing to stab it.",Prend la cible dans sa toile et se prépare à la frapper.,"Webt das Ziel ein, um es zu stechen.",목표를 속박해 찌를 준비를 합니다. ,"Oplątuje cel, zanim go dźgnie.",Põe o alvo na Teia e se prepara para furá-lo.,Обездвиживает цель паутиной и готовится нанести удар.,Enreda al objetivo para luego perforarlo.
ScorpionAtk2_Name,Goring Spinneret,Goring Spinneret,Filière éventreuse,Durchbohrende Spinndrüse,꿰뚫는 돌기,Naostrzone Kądziołki,Fiandeira Furiosa,Пронзающая ловушка,Hilera de espinas
ScorpionAtk2_Description,"Web the target, preparing to stab it.","Web the target, preparing to stab it.",Prend la cible dans sa toile et se prépare à la frapper.,"Webt das Ziel ein, um es zu stechen.",목표를 속박해 찌를 준비를 합니다. ,"Oplątuje cel, zanim go dźgnie.",Põe o alvo na Teia e se prepara para furá-lo.,Обездвиживает цель паутиной и готовится нанести удар.,Enreda al objetivo para luego perforarlo.
Burrower_Atk_Name,Spiked Carapace,Spiked Carapace,Carapace à pointes,Stachelpanzer,뾰족한 갑각,Kolczasty Karapaks,Carapaça Espinhosa,Шипастый панцирь,Caparazón púas
Burrower_Atk_Description,Slam against 3 tiles in a row.,Slam against 3 tiles in a row.,Frappe violemment 3 cases alignées.,Schlag auf 3 Felder in einer Reihe.,세 타일을 동시에 덮칩니다.,Uderza w 3 kolejne pola w linii prostej.,Atinge 3 espaços em fileira.,Наносит удар по трем клеткам на одной линии.,Se lanza contra 3 casillas seguidas.
Burrower_Atk2_Name,Bladed Carapace,Bladed Carapace,Carapace à lames,Klingenpanzer,날 선 갑각,Sztyletowy Karapaks,Carapaça Laminada,Бритвенный панцирь,Caparazón filos
